repo_full_name,repo_url,stars,forks,description,last_updated,primary_language,discovered_at
burakbayramli/books,https://github.com/burakbayramli/books,329,203,"Source code for 300+ books, kept here for quick reference",2025-10-09T17:28:19Z,Jupyter Notebook,2025-10-24T08:13:57.361199
raphaelreme/koft,https://github.com/raphaelreme/koft,15,0,"Code and data for ""Particle tracking in biological images with optical-flow enhanced Kalman filtering""",2025-10-16T14:09:13Z,Python,2025-10-24T08:13:57.637563
timonoko/nokolis.py,https://github.com/timonoko/nokolis.py,5,0, Nokolisp running on Python,2024-04-27T18:38:55Z,Python,2025-10-24T08:13:57.893975
PJunhyuk/people-counting-pose,https://github.com/PJunhyuk/people-counting-pose,178,46,Odin: Pose estimation-based tracking and counting of people in videos,2025-10-03T16:39:35Z,C++,2025-10-24T08:13:58.197267
eddyhkchiu/mahalanobis_3d_multi_object_tracking,https://github.com/eddyhkchiu/mahalanobis_3d_multi_object_tracking,394,79,"[NeurIPS Workshop 2019] Official code of the paper ""Probabilistic 3D Multi-Object Tracking for Autonomous Driving."" First Place of the First NuScenes Tracking Challenge in the AI Driving Olympics Workshop of NeurIPS.",2025-10-23T14:09:14Z,Python,2025-10-24T08:13:58.477053
bahia14/Kalman-and-Bayesian-Filters-using-Python,https://github.com/bahia14/Kalman-and-Bayesian-Filters-using-Python,0,1,,2022-05-13T19:46:37Z,Jupyter Notebook,2025-10-24T08:13:58.750108
Than-Duc-Huy/GelsightKCL,https://github.com/Than-Duc-Huy/GelsightKCL,3,0,Gelsight tactile sensor at KCL,2025-09-08T18:26:16Z,C++,2025-10-24T08:13:58.995826
why-does-ie-still-exist/estimatortest,https://github.com/why-does-ie-still-exist/estimatortest,0,0,Some estimator test code I made,2025-08-04T06:09:43Z,Python,2025-10-24T08:13:59.262820
FarahAbdo/SmartVision,https://github.com/FarahAbdo/SmartVision,0,0,,2024-05-16T12:26:25Z,Python,2025-10-24T08:13:59.560601
TAMU-RoboMaster-Computer-Vision/Embedded_Integration,https://github.com/TAMU-RoboMaster-Computer-Vision/Embedded_Integration,0,0,,2020-09-07T20:44:59Z,Python,2025-10-24T08:13:59.918257
erikbr01/detectron-realsense,https://github.com/erikbr01/detectron-realsense,1,1,,2022-05-28T19:38:27Z,Python,2025-10-24T08:14:00.180452
esousacosta/LiDAR_SLAM,https://github.com/esousacosta/LiDAR_SLAM,0,0,Repository related to the development of a SLAM algorithm using a 2D LiDAR for my college's robotics club.,2019-05-11T16:22:03Z,Python,2025-10-24T08:14:00.477779
shkolnick-kun/kalman_h_infinity_filters,https://github.com/shkolnick-kun/kalman_h_infinity_filters,8,3,,2025-05-16T20:43:55Z,Jupyter Notebook,2025-10-24T08:14:00.758356
Fanger1985/BB1,https://github.com/Fanger1985/BB1,11,1,BB1 | BBWan | The First One | Robot | PiBot | ESP32 Bot |  Companion Bot | The Greatest Learning Curve! In the beginning! .... GOD SAID LET THERE BE LIGHT!,2025-05-17T19:06:09Z,C++,2025-10-24T08:14:01.036299
tee-lab/mothe,https://github.com/tee-lab/mothe,1,1,An end to end pipeline to track multiple objects against a heterogeneous background with just 5 lines of code,2024-09-08T11:00:10Z,Python,2025-10-24T08:14:01.381317
